#NQUEST
Number      0
SType        0
SVnum       6255
Name        hammer~
Desc        Hey Ho! Adventurer Gladan the Dwarf is searching for his Chieftain's
Hammer gift in the Ice Cavern.  Give Gladan a hand it must be found
quickly, or Gladan will have to return empty handed.
~
Timelimit   0
Level       5
Chapters    3
#NCHAPTER
Number      1
Desc        kill all the icicle monsters.~
Timelimit   1800
Level       0
KAmount     10
#CHAPEND
#NCHAPTER
Number      2
Desc        Use clue to find Hammer~
Timelimit   900
Level       0
KAmount     0
#CHAPEND
#NCHAPTER
Number      3
Desc        Return Hammer to Gladan~
Timelimit   300
Level       0
KAmount     0
#CHAPEND
End

#NQUEST
Number      1
SType        0
SVnum       16001
Name        jonah~
Desc        Friendly Stable Master Jonah in Paleon City has some tasks
for you to do which can grant you some rewards.
~
Timelimit   0
Level       2
Chapters    15
#NCHAPTER
Number      1
Desc        Pass Jonah's message to Kalarn~
Timelimit   0
Level       0
KAmount     0
#CHAPEND
#NCHAPTER
Number      2
Desc        Give Kalarn's message to Jonah~
Timelimit   0
Level       0
KAmount     0
#CHAPEND
#NCHAPTER
Number      3
Desc        Ask for Jonah's second task~
Timelimit   0
Level       0
KAmount     0
#CHAPEND
#NCHAPTER
Number      4
Desc        Get dagger from Blade Master Symon~
Timelimit   0
Level       0
KAmount     0
#CHAPEND
#NCHAPTER
Number      5
Desc        Return dagger to Jonah~
Timelimit   0
Level       0
KAmount     0
#CHAPEND
#NCHAPTER
Number      6
Desc        Ask for Jonah's third task~
Timelimit   0
Level       0
KAmount     0
#CHAPEND
#NCHAPTER
Number      7
Desc        Give Jonah's message to Amelia~
Timelimit   0
Level       0
KAmount     0
#CHAPEND
#NCHAPTER
Number      8
Desc        Return potion to Jonah~
Timelimit   0
Level       0
KAmount     0
#CHAPEND
#NCHAPTER
Number      9
Desc        Ask for Jonah's fourth task~
Timelimit   0
Level       0
KAmount     0
#CHAPEND
#NCHAPTER
Number      10
Desc        Give message to Banker Joram~
Timelimit   0
Level       0
KAmount     0
#CHAPEND
#NCHAPTER
Number      11
Desc        Give Joram's message to Jonah~
Timelimit   0
Level       0
KAmount     0
#CHAPEND
#NCHAPTER
Number      12
Desc        Ask for Jonah's fifth task~
Timelimit   0
Level       0
KAmount     0
#CHAPEND
#NCHAPTER
Number      13
Desc        Bring a sewer rat corpse to Jonah~
Timelimit   0
Level       0
KAmount     0
#CHAPEND
#NCHAPTER
Number      14
Desc        Ask for Jonah's sixth task~
Timelimit   0
Level       0
KAmount     0
#CHAPEND
#NCHAPTER
Number      15
Desc        Give Jonah's message to Tarane~
Timelimit   0
Level       0
KAmount     0
#CHAPEND
End

#NQUEST
Number      2
SType        0
SVnum       16018
Name        clemmons~
Desc        The crafty thief Clemmons in Paleon City sewers has a task for you to 
complete to prove yourself worthy of special passage. 
~
Timelimit   0
Level       5
Chapters    2
#NCHAPTER
Number      1
Desc        Kill the Tunnel Worm~
Timelimit   0
Level       5
KAmount     0
#CHAPEND
#NCHAPTER
Number      2
Desc        Get the corpse~
Timelimit   0
Level       5
KAmount     0
#CHAPEND
#NCHAPTER
Number      3
Desc        Give corpse Clemmons~
Timelimit   0
Level       5
KAmount     0
#CHAPEND
End

#NQUEST
Number      3
SType        0
SVnum       16010
Name        tarane~
Desc        Ill tempered Tarane is willing to trust you since Jonah has vouched
for you.  Tarane who also lives in Paleon has a series of tasks
for you to complete, and will reward you kindly for doing so.~
Timelimit   0
Level       5
Chapters    16
#NCHAPTER
Number      1
Desc        Give Message to Marlana~
Timelimit   0
Level       0
KAmount     0
#CHAPEND
#NCHAPTER
Number      2
Desc        Give message to Tarane~
Timelimit   0
Level       0
