#SKILL
Name         reserved~
Type         Spell
Info         0
Flags        0
Slot         95
Code         spell_null
Wearoff      ???~
Minlevel     101
End

#SKILL
Name         acid breath~
Type         Spell
Info         5
Flags        0
Target       1
Minpos       110
Min_dist     6
Max_dist     14
Slot         200
Mana         20
Rounds       12
Code         spell_acid_breath
Dammsg       blast of acid~
Wearoff      !Acid Breath!~
Difficulty   5
Teachers     10808~
Minlevel     41
End

#SKILL
Name         acidic touch~
Type         Spell
Info         5
Flags        0
Target       1
Mana         10
Rounds       5
Code         spell_acidic_touch
Dammsg       acidic touch~
Difficulty   1
Minlevel     13
End

#SKILL
Name         acidmist~
Type         Spell
Info         5
Flags        1024
Target       2
Minpos       115
Mana         85
Rounds       12
Code         spell_smaug
Wearoff      A sudden breeze blows away the green mist.~
Hitchar      &gA green mist rises up around you.&D~
Hitvict      &gA green mist rises up around you.&D~
Hitroom      &gA green mist rises up around $N.&D~
Misschar     &gA small green mist rises up around you, but a sudden wind blows it away.&D~
Missvict     &gA small green mist rises up around you, but a sudden wind blows it away.&D~
Missroom     &gA small green mist rises up around $N, but a sudden wind blows it away.&D~
Difficulty   5
Affect       '(l*24)' 70 'acidmist' 34
Minlevel     101
End

#SKILL
Name         acidshot~
Type         Spell
Info         392
Flags        6144
Target       1
Minpos       109
Mana         15
Rounds       12
Code         spell_smaug
Dammsg       shot of acid~
Missroom     supress~
Dice         L/2~
Minlevel     101
End

#SKILL
Name         admonishing smite~
Type         Spell
Info         395
Flags        6144
Target       1
Minpos       108
Min_dist     8
Max_dist     25
Mana         25
Rounds       18
Code         spell_smaug
Dammsg       admonishing lightning~
Hitchar      &YYou call down lightning from the heavens to smite $N!~
Hitvict      &Y$n calls down lightning from the heavens to smite you!~
Hitroom      &Y$n calls down lightning from the heavens to smite $N!~
Dice         Q~
Difficulty   1
Minlevel     12
End

#SKILL
Name         alertness~
Type         Spell
Info         0
Flags        0
Target       3
Minpos       111
Slot         102
Mana         60
Rounds       15
Code         spell_smaug
Wearoff      You are suddenly less alert.~
Hitvict      You suddenly feel alert.~
Hitroom      $N's eyes dart about the room in an alert manner.~
Difficulty   2
Teachers     2760~
Affect       'l*15' 27 '1024' -1
Minlevel     37
End

#SKILL
Name         angels touch~
Type         Spell
